time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2021-09-23T03:14:36Z,161,0,0,0,0,0,9758884,1467,6612995,0,0,0,0,0,0,79470,0,0,0,0,0,0,0,288,7,0,-21,1,6,44509,0,0,0,0,0, ,0,0,0,0,0,0,78310,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,77,237,107038128,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,450,0,18,0,900,0,0,0,0,0,0,0,0,0,0,77199,0,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:15:36Z,161,0,0,0,0,0,10254772,1467,7108883,0,0,0,0,0,0,88031,0,0,0,0,0,0,0,311,7,0,-26,1,6,49045,0,0,0,0,0, ,0,0,0,0,0,0,86576,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,239,103,288,129929784,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,85213,0,2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:16:36Z,161,0,0,0,0,0,10729140,1467,7583251,0,0,0,0,0,0,88048,0,0,0,0,0,0,0,318,7,0,-35,1,6,48005,0,0,0,0,0, ,0,0,0,0,0,0,86593,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,148,107,293,171214040,2,0,0,0,0,0,0,0,0,0,0,2,0,9,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,85244,0,2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:17:36Z,161,0,0,0,0,0,11072700,1467,7926811,0,0,0,0,0,0,84260,0,0,0,0,0,0,0,335,7,0,-32,1,6,46213,0,0,0,0,0, ,0,0,0,0,0,0,83387,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,88,299,176572208,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,82126,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:18:36Z,161,0,0,0,0,0,11246212,1467,8100323,0,0,0,0,0,0,84643,0,0,0,0,0,0,0,347,7,0,-36,1,6,46361,0,0,0,0,0, ,0,0,0,0,0,0,84571,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,283,105,293,170957912,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,83127,0,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:19:36Z,161,0,0,0,0,0,11356092,1467,8210203,0,0,0,0,0,0,84011,0,0,0,0,0,0,0,359,8,0,-40,1,6,46958,0,0,0,0,0, ,0,0,0,0,0,0,83931,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,186,93,285,184833240,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,82702,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:20:36Z,161,0,0,0,0,0,11434292,1467,8288403,0,0,0,0,0,0,86176,0,0,0,0,0,0,0,367,9,0,-45,1,6,47827,0,0,0,0,0, ,0,0,0,0,0,0,86104,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,233,92,307,156843848,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,84853,0,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:21:36Z,161,0,0,0,0,0,11517332,1467,8371443,0,0,0,0,0,0,83107,0,0,0,0,0,0,0,376,9,0,-51,1,6,45875,0,0,0,0,0, ,0,0,0,0,0,0,83015,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,88,300,237158720,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,81801,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:22:36Z,161,0,0,0,0,0,11605572,1467,8459683,0,0,0,0,0,0,84623,0,0,0,0,0,0,0,384,9,0,-55,1,6,46707,0,0,0,0,0, ,0,0,0,0,0,0,84553,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,323,99,306,180962672,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,83282,0,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:23:36Z,161,0,0,0,0,0,11779684,1467,8633795,0,0,0,0,0,0,85424,0,0,0,0,0,0,0,404,9,0,-59,1,6,46952,0,0,0,0,0, ,0,0,0,0,0,0,85356,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106,94,294,241477656,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,83936,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
